,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
351,Hyundai NEW I20,2022,19944,1,PETROL,GJ-01,Manual,HatchBack,930000
352,Ford Ecosport,2018,37983,1,PETROL,KA-04,Manual,SUV,810000
353,Maruti Ritz,2011,73946,1,PETROL,MH-14,Manual,HatchBack,248000
354,Hyundai Creta,2017,79634,1,PETROL,GJ-01,Automatic,SUV,948000
355,Hyundai i10,2013,91279,2,PETROL,KA-03,Automatic,HatchBack,349000
356,Hyundai Creta,2020,27959,1,PETROL,HR-26,Manual,SUV,1141000
357,Maruti Baleno,2021,23851,2,PETROL,GJ-16,Automatic,HatchBack,814000
358,Volkswagen Vento,2020,22192,2,PETROL,TS-07,Manual,Sedan,809000
359,Maruti Baleno,2017,100102,1,PETROL,,Manual,HatchBack,485000
360,Maruti Alto,2019,42839,1,PETROL,GJ-03,Manual,HatchBack,380000
361,Maruti Swift,2012,99428,3,CNG,MH-15,Manual,HatchBack,331200
362,Hyundai Creta,2015,93177,1,PETROL,WB-12,Manual,SUV,571000
363,Tata NEXON,2022,21009,1,PETROL,GJ-01,Automatic,SUV,1222000
364,Renault Kwid,2020,10916,2,PETROL,KA-51,Automatic,HatchBack,560000
365,Hyundai GRAND I10 NIOS,2019,6327,1,PETROL,TS-09,Automatic,HatchBack,764000
366,Maruti S Cross,2017,113633,1,DIESEL,MH-43,Manual,SUV,728000
367,Tata Tiago,2019,68766,1,PETROL,RJ-45,Manual,HatchBack,531000
368,Renault Kiger,2021,48938,2,PETROL,KA-03,Automatic,HatchBack,1013000
369,Maruti Ciaz,2016,63155,2,DIESEL,TN-07,Manual,Sedan,674000
370,Skoda Octavia,2016,38959,1,PETROL,MH-09,Automatic,Lux_sedan,1281000
371,Honda City,2017,40586,1,PETROL,GJ-27,Manual,Sedan,833000
372,Maruti Wagon R 1.0,2018,43528,2,PETROL,TS-08,Manual,HatchBack,424350
373,Volkswagen Polo,2018,50781,2,PETROL,KA-02,Automatic,HatchBack,834000
374,Honda Brio,2015,34105,1,PETROL,DL-3C,Manual,HatchBack,345000
375,Maruti Alto K10,2019,26520,2,PETROL,UP-32,Automatic,HatchBack,387000
376,Hyundai Grand i10,2018,44690,1,PETROL,MH-06,Manual,HatchBack,491000
377,Hyundai Grand i10,2017,40570,1,PETROL,TS-09,Automatic,HatchBack,638000
378,Maruti Swift,2019,51622,1,PETROL,HR-51,Manual,HatchBack,545000
379,Ford FREESTYLE,2018,63517,1,DIESEL,UP-16,Manual,SUV,555000
380,Maruti Vitara Brezza,2019,68272,1,DIESEL,PB-91,Manual,SUV,767000
381,Hyundai Grand i10,2014,98211,2,PETROL,KA-19,Manual,HatchBack,398000
382,Ford Ecosport,2019,34446,2,PETROL,MH-02,Automatic,SUV,710000
383,Maruti Dzire,2017,91412,2,PETROL,TN-14,Automatic,Sedan,545000
384,Hyundai NEW I20,2021,60157,1,PETROL,MH-14,Manual,HatchBack,796000
385,Maruti Baleno,2017,63801,1,PETROL,DL-9C,Manual,HatchBack,535000
386,Maruti Celerio,2014,77796,2,PETROL,MH-01,Manual,HatchBack,294000
387,Hyundai Grand i10,2017,49809,1,PETROL,GJ-06,Manual,HatchBack,492000
388,Maruti Alto 800,2015,111283,2,PETROL,,Manual,HatchBack,274000
389,Maruti Baleno,2016,35748,1,PETROL,MP-09,Manual,HatchBack,513000
390,Maruti Wagon R 1.0,2017,94753,1,PETROL,TN-37,Manual,HatchBack,401000
391,Maruti Swift,2017,49602,2,PETROL,TS-33,Manual,HatchBack,602650
392,Maruti New Wagon-R,2020,23040,1,CNG,DL-11,Manual,HatchBack,575000
393,Honda Brio,2015,41595,2,PETROL,MP-09,Manual,HatchBack,373000
394,Hyundai NEW SANTRO,2020,15578,2,PETROL,PB-12,Manual,HatchBack,429000
395,Maruti IGNIS,2017,88087,2,CNG,GJ-02,Automatic,HatchBack,498000
396,Renault Kwid,2019,51237,2,PETROL,TS-15,Automatic,HatchBack,449000
397,Renault Kwid,2016,89494,2,PETROL,GJ-17,Manual,HatchBack,232000
398,Maruti Wagon R 1.0,2018,30769,1,CNG,MH-02,Manual,HatchBack,410000
399,Maruti Swift,2015,64751,1,DIESEL,MH-03,Manual,HatchBack,487650
400,Renault Kiger,2021,15105,2,PETROL,KA-04,Manual,HatchBack,766000
401,Hyundai Xcent,2018,42266,2,PETROL,TN-22,Manual,Sedan,547000
402,Honda Amaze,2015,37243,1,DIESEL,WB-02,Automatic,Sedan,891000
403,Hyundai Verna,2013,76915,2,PETROL,HR-26,Manual,Sedan,409000
404,Hyundai i20 Active,2019,96408,1,DIESEL,TS-11,Manual,HatchBack,803000
405,Hyundai Elite i20,2015,72961,1,PETROL,KA-51,Manual,HatchBack,649000
406,Hyundai NEW SANTRO,2021,40964,1,PETROL,WB-08,Manual,HatchBack,485000
407,Hyundai Elite i20,2019,51237,1,PETROL,HR-26,Manual,HatchBack,735000
408,Honda Brio,2013,67656,2,PETROL,DL-1C,Manual,HatchBack,260000
409,Maruti Swift Dzire,2016,90480,1,PETROL,UP-32,Manual,Sedan,677000
410,Maruti Alto 800,2015,19819,2,PETROL,KL-29,Manual,HatchBack,302000
411,Maruti Alto 800,2016,22042,1,PETROL,KA-02,Manual,HatchBack,296000
412,Maruti Ciaz,2018,116881,1,PETROL,,Manual,Sedan,537000
413,Hyundai Xcent,2018,31133,1,PETROL,DL-8C,Manual,Sedan,568000
414,Maruti Alto,2020,35375,1,PETROL,TN-12,Manual,HatchBack,393000
415,Maruti Baleno,2019,27310,2,PETROL,RJ-45,Manual,HatchBack,707000
416,Maruti Baleno,2019,21202,1,PETROL,DL-8C,Manual,HatchBack,655000
417,Maruti Swift Dzire,2016,39991,1,PETROL,TS-07,Manual,Sedan,540000
418,Hyundai Verna,2021,71137,2,DIESEL,MH-14,Manual,Sedan,393000
419,Maruti Wagon R 1.0,2017,59340,1,CNG,MH-43,Manual,HatchBack,378000
420,Honda City,2015,100774,3,DIESEL,KA-16,Manual,Sedan,553000
421,Maruti Wagon R 1.0,2013,30418,2,PETROL,TN-06,Manual,HatchBack,327000
422,Hyundai Grand i10,2017,32367,1,PETROL,MP-04,Manual,HatchBack,467000
423,Hyundai New Elantra,2016,99120,1,DIESEL,KA-02,Automatic,Lux_sedan,939000
424,Maruti Wagon R 1.0,2013,30906,1,PETROL,MH-16,Manual,HatchBack,300000
425,Hyundai i20,2010,67473,2,PETROL,DL-3C,Manual,HatchBack,163000
426,Maruti Baleno,2017,13053,1,PETROL,HR-26,Manual,HatchBack,592000
427,Tata Tiago,2016,10215,1,PETROL,TS-08,Manual,HatchBack,452000
428,Honda BR-V,2019,46532,1,DIESEL,UP-16,Manual,SUV,928000
429,Hyundai Elite i20,2018,97274,1,DIESEL,TS-07,Manual,HatchBack,768000
430,Hyundai NEW SANTRO,2019,80968,1,CNG,HR-36,Manual,HatchBack,489000
431,Hyundai AURA,2020,51452,1,DIESEL,UP-32,Manual,Sedan,687000
432,Maruti Swift,2014,56753,2,PETROL,HR-51,Manual,HatchBack,453000
433,Honda Brio,2015,18554,1,PETROL,MH-43,Manual,HatchBack,363000
434,Maruti Celerio,2019,38439,1,PETROL,RJ-51,Manual,HatchBack,443000
435,Honda Amaze,2019,16645,1,PETROL,DL-10,Manual,Sedan,729000
436,Maruti Baleno,2021,22521,1,PETROL,MP-09,Manual,HatchBack,717000
437,Maruti Ertiga,2014,52106,1,PETROL,MH-05,Manual,SUV,627000
438,Maruti New Wagon-R,2021,31320,1,PETROL,TS-19,Automatic,HatchBack,675000
439,Honda City,2016,78752,2,DIESEL,KA-41,Automatic,Sedan,640000
440,Maruti Wagon R 1.0,2015,70766,1,PETROL,DL-8C,Manual,HatchBack,308000
441,Renault Kwid,2019,25085,1,PETROL,DL-3C,Manual,HatchBack,363000
442,Maruti New Wagon-R,2021,36430,1,CNG,UP-78,Manual,HatchBack,566000
443,Toyota Corolla Altis,2017,96186,3,CNG,GJ-01,Automatic,Lux_sedan,944000
444,Maruti Baleno,2019,25387,2,PETROL,GJ-06,Automatic,HatchBack,673000
445,Maruti Swift,2015,60559,1,PETROL,RJ-14,Manual,HatchBack,434000
446,Maruti Celerio,2016,69437,3,PETROL,TN-11,Manual,HatchBack,399000
447,Volkswagen Polo,2016,90305,1,PETROL,TN-23,Manual,HatchBack,559000
448,Maruti IGNIS,2018,89322,1,CNG,GJ-27,Manual,HatchBack,467000
449,Maruti Swift,2018,15466,1,PETROL,KA-05,Automatic,HatchBack,758000
450,Hyundai i10,2010,82416,1,PETROL,KA-03,Manual,HatchBack,291000
451,Ford Ecosport,2015,92975,1,PETROL,DL-10,Automatic,SUV,497000
452,Maruti Alto 800,2016,66948,2,PETROL,TS-15,Manual,HatchBack,257000
453,Maruti Alto,2020,24952,1,PETROL,UP-78,Manual,HatchBack,324200
454,Maruti Swift,2019,95808,1,PETROL,MH-14,Automatic,HatchBack,615000
455,Hyundai i10,2012,29182,2,PETROL,MH-01,Manual,HatchBack,235000
456,Maruti New Wagon-R,2020,51781,1,PETROL,TS-08,Manual,HatchBack,527000
457,Hyundai Grand i10,2015,103089,1,CNG,GJ-06,Manual,HatchBack,421000
458,Tata Harrier,2022,35382,1,DIESEL,GJ-18,Automatic,SUV,1989000
459,Maruti Alto,2021,20759,1,PETROL,TS-29,Manual,HatchBack,389000
460,Maruti A Star,2010,47148,1,PETROL,DL-3C,Manual,HatchBack,164000
461,Renault TRIBER,2019,31661,1,PETROL,TS-07,Manual,SUV,691000
462,Maruti Baleno,2016,43112,1,PETROL,MH-02,Manual,HatchBack,582000
463,Maruti New Wagon-R,2021,44769,1,CNG,UP-78,Manual,HatchBack,606000
464,Hyundai Elite i20,2017,62148,2,PETROL,DL-4C,Manual,HatchBack,476000
465,Tata ALTROZ,2021,15530,1,PETROL,TS-10,Manual,HatchBack,874000
466,Hyundai i20,2014,77526,1,PETROL,KA-04,Manual,HatchBack,535000
467,Renault Kwid,2016,82700,1,PETROL,TN-73,Manual,HatchBack,335000
468,Maruti New Wagon-R,2020,62629,1,CNG,DL-8C,Manual,HatchBack,547000
469,Maruti Swift,2021,21547,2,PETROL,HR-26,Automatic,HatchBack,802000
470,Maruti Swift,2015,69232,1,PETROL,TN-18,Manual,HatchBack,512000
471,Maruti Celerio X,2018,38415,1,PETROL,CH-01,Automatic,HatchBack,541000
472,Maruti Swift,2019,25854,1,PETROL,MP-09,Manual,HatchBack,600000
473,Maruti Swift,2020,8638,1,PETROL,GJ-06,Manual,HatchBack,628000
474,Hyundai i10,2013,57656,1,PETROL,MH-14,Manual,HatchBack,287000
475,Maruti Alto,2019,24888,1,PETROL,TN-57,Manual,HatchBack,394000
476,Maruti Wagon R 1.0,2014,21917,2,PETROL,TN-02,Manual,HatchBack,372000
477,Maruti A Star,2012,47221,2,PETROL,MH-01,Automatic,HatchBack,279000
478,Tata TIGOR,2018,40031,1,PETROL,DL-2C,Manual,Sedan,527000
479,Hyundai Elite i20,2016,44230,2,PETROL,WB-06,Manual,HatchBack,437000
480,Maruti Dzire,2019,40400,1,PETROL,GJ-13,Manual,Sedan,603000
481,Maruti Celerio,2015,74424,3,PETROL,TS-07,Automatic,HatchBack,419000
482,Hyundai Santro Xing,2010,84084,1,PETROL,KA-05,Manual,HatchBack,244000
483,KIA SONET,2021,11425,1,PETROL,UP-16,Manual,SUV,991000
484,Maruti Swift,2017,80776,1,DIESEL,MH-04,Manual,HatchBack,616800
485,Honda Brio,2012,97335,2,PETROL,KA-22,Manual,HatchBack,297000
486,Hyundai Verna,2017,37717,1,PETROL,MH-02,Manual,Sedan,519000
487,Hyundai Grand i10,2017,35707,1,PETROL,MH-12,Manual,HatchBack,519000
488,Hyundai Elite i20,2018,91609,1,PETROL,TN-85,Manual,HatchBack,559000
489,Hyundai i10,2012,88128,3,CNG,GJ-05,Manual,HatchBack,229000
490,Maruti Swift,2018,47004,1,PETROL,MP-09,Manual,HatchBack,586000
491,Maruti New Wagon-R,2021,30766,1,CNG,TS-08,Manual,HatchBack,588000
492,Maruti Swift Dzire,2013,17387,2,PETROL,KA-03,Manual,Sedan,497000
493,Hyundai Eon,2018,26858,1,PETROL,GJ-05,Manual,HatchBack,338000
494,Maruti Alto K10,2016,55446,1,PETROL,HR-26,Manual,HatchBack,326000
495,Honda Amaze,2014,52597,2,PETROL,TS-09,Manual,Sedan,417000
496,Maruti Ciaz,2015,70473,1,DIESEL,UP-14,Manual,Sedan,521000
497,Maruti Baleno,2017,41947,1,PETROL,DL-6C,Manual,HatchBack,549000
498,Maruti Wagon R 1.0,2018,54472,1,CNG,MH-12,Manual,HatchBack,465000
499,Tata Tiago,2020,29600,1,PETROL,MP-04,Manual,HatchBack,477000
500,Maruti Dzire,2017,86017,1,PETROL,TS-10,Manual,Sedan,634000
501,Maruti Celerio,2015,68755,3,CNG,MH-48,Manual,HatchBack,369000
502,Maruti Swift Dzire,2013,44495,1,PETROL,WB-02,Manual,Sedan,310000
503,Honda Amaze,2016,46411,1,PETROL,DL-9C,Manual,Sedan,456000
504,Maruti Swift Dzire,2013,55432,1,PETROL,DL-4C,Manual,Sedan,218000
505,Tata Tiago,2018,46139,2,PETROL,KA-03,Manual,HatchBack,510000
506,Mahindra Thar,2021,10290,2,PETROL,TS-07,Automatic,SUV,1711000
507,Maruti Swift,2018,90804,1,PETROL,KA-51,Manual,HatchBack,628000
508,Datsun Redi Go,2021,3635,1,PETROL,PB-02,Manual,HatchBack,411000
509,Honda Brio,2016,27699,1,PETROL,PB-10,Automatic,HatchBack,467000
510,Hyundai Eon,2013,89559,1,PETROL,AP-28,Manual,HatchBack,233000
511,Hyundai NEW SANTRO,2021,24565,1,CNG,HR-26,Manual,HatchBack,514000
512,Maruti Ciaz,2017,64130,2,PETROL,KA-06,Manual,Sedan,790000
513,Honda WR-V,2018,44004,2,DIESEL,TN-07,Manual,SUV,739000
514,Hyundai Elite i20,2018,39478,1,PETROL,TS-13,Manual,HatchBack,740000
515,Maruti Swift,2017,84289,2,PETROL,TN-07,Manual,HatchBack,538000
516,Maruti Baleno,2021,37288,1,PETROL,CH-01,Manual,HatchBack,710000
517,Volkswagen Polo,2016,66057,2,PETROL,MH-03,Automatic,HatchBack,569000
518,Honda Jazz,2017,66075,1,DIESEL,WB-02,Manual,HatchBack,389000
519,Honda Brio,2014,66051,1,PETROL,DL-3C,Manual,HatchBack,307000
520,Maruti Vitara Brezza,2018,43109,1,DIESEL,DL-3C,Manual,SUV,682000
521,Toyota Glanza,2019,20361,1,PETROL,DL-8C,Manual,HatchBack,709000
522,Hyundai Grand i10,2019,20552,1,PETROL,UP-78,Manual,HatchBack,531000
523,Hyundai Grand i10,2016,32594,1,PETROL,HR-26,Manual,HatchBack,461000
524,Maruti Swift,2018,50479,2,PETROL,RJ-45,Manual,HatchBack,533000
525,Maruti Wagon R 1.0,2015,21598,1,PETROL,MH-47,Manual,HatchBack,358000
526,Maruti Celerio,2016,61337,1,PETROL,TS-08,Automatic,HatchBack,431000
527,Maruti Baleno,2019,47935,1,PETROL,HR-26,Manual,HatchBack,553000
528,Maruti Vitara Brezza,2016,99232,1,DIESEL,KA-50,Manual,SUV,830000
529,Hyundai Grand i10,2017,44390,1,PETROL,TS-07,Manual,HatchBack,553000
530,Hyundai Elite i20,2017,63899,1,PETROL,CH-01,Manual,HatchBack,574000
531,Maruti Celerio,2022,8143,1,PETROL,MP-04,Manual,HatchBack,624000
532,Maruti Wagon R 1.0,2016,46335,2,PETROL,TS-08,Manual,HatchBack,371000
533,Maruti Baleno,2017,28584,1,PETROL,GJ-18,Manual,HatchBack,581000
534,Mahindra XUV500,2017,79282,2,DIESEL,GJ-23,Automatic,Lux_SUV,1007000
535,Honda WR-V,2017,81348,1,DIESEL,TN-05,Manual,SUV,704000
536,Maruti Alto,2011,14359,2,PETROL,DL-3C,Manual,HatchBack,188000
537,Maruti Dzire,2018,55864,1,PETROL,MH-12,Manual,Sedan,594000
538,Maruti Zen Estilo,2012,15432,1,PETROL,DL-3C,Manual,HatchBack,195000
539,Renault Kwid,2021,17102,1,PETROL,MH-29,Manual,HatchBack,430000
540,Hyundai NEW SANTRO,2019,48344,1,CNG,HR-51,Manual,HatchBack,567000
541,Maruti Swift,2011,74040,2,PETROL,DL-8C,Manual,HatchBack,191000
542,Hyundai i10,2010,83410,3,PETROL,AP-09,Automatic,HatchBack,287000
543,Hyundai NEW I20 N LINE,2021,23899,1,PETROL,TN-12,Automatic,HatchBack,1164000
544,Maruti Ciaz,2017,36611,1,PETROL,GJ-06,Manual,Sedan,756000
545,Maruti Alto K10,2016,29034,2,CNG,PB-13,Manual,HatchBack,335000
546,Renault Kwid,2017,47400,2,PETROL,TN-64,Automatic,HatchBack,378000
547,Honda City,2018,55536,1,PETROL,DL-1C,Manual,Sedan,210000
548,Hyundai Grand i10,2015,70864,1,PETROL,KA-02,Automatic,HatchBack,547000
549,Toyota Corolla Altis,2014,65829,1,PETROL,MH-12,Automatic,Lux_sedan,807000
550,Maruti Swift,2016,10887,1,PETROL,KA-04,Manual,HatchBack,675000
551,Tata Tiago,2018,41852,2,PETROL,UP-32,Manual,HatchBack,404000
552,Hyundai Eon,2016,74129,1,PETROL,KA-51,Manual,HatchBack,313000
553,Honda City,2013,96271,1,PETROL,DL-3C,Manual,Sedan,395000
554,Tata Tiago,2020,27518,1,PETROL,TN-14,Manual,HatchBack,610000
555,Tata NEXON,2020,93639,1,DIESEL,GJ-01,Manual,SUV,907000
556,Maruti Baleno,2016,47741,2,PETROL,TS-12,Manual,HatchBack,545000
557,Renault Kwid,2018,53600,3,PETROL,TN-55,Manual,HatchBack,324000
558,Hyundai Grand i10,2014,96601,2,PETROL,HR-12,Manual,HatchBack,328000
559,Hyundai Grand i10,2016,30527,1,PETROL,MP-04,Automatic,HatchBack,472000
560,Maruti S Cross,2017,113791,2,DIESEL,GJ-04,Manual,SUV,629000
561,Renault Kwid,2020,44904,2,PETROL,HR-29,Manual,HatchBack,390000
562,Maruti Swift,2018,97229,1,PETROL,RJ-45,Manual,HatchBack,519000
563,Datsun Redi Go,2018,45531,1,PETROL,MH-04,Automatic,HatchBack,338000
564,Hyundai Grand i10,2017,61193,1,DIESEL,MH-15,Manual,HatchBack,588000
565,Renault Kwid,2022,6592,1,PETROL,DL-14,Automatic,HatchBack,562000
566,Maruti Wagon R 1.0,2017,78854,1,CNG,MH-02,Manual,HatchBack,403000
567,Hyundai NEW SANTRO,2022,20113,1,PETROL,GJ-08,Manual,HatchBack,499000
568,Tata Tiago,2021,37301,1,PETROL,BR-01,Automatic,HatchBack,572000
569,Maruti Swift,2012,74268,1,PETROL,KA-51,Manual,HatchBack,398000
570,Maruti Alto 800,2017,74195,1,PETROL,TS-07,Manual,HatchBack,319000
571,Mahindra Bolero,2022,11649,1,DIESEL,BR-31,Manual,SUV,1028000
572,Hyundai i10,2013,69263,2,PETROL,KA-03,Automatic,HatchBack,347000
573,Ford FREESTYLE,2021,9350,1,PETROL,TN-19,Manual,SUV,739000
574,Hyundai AURA,2022,8584,1,PETROL,DL-10,Manual,Sedan,898000
575,Hyundai Creta,2018,37437,1,PETROL,MH-01,Automatic,SUV,1140000
576,Honda BR-V,2017,83623,1,PETROL,TS-07,Automatic,SUV,798000
577,Tata Tiago,2017,110696,1,DIESEL,MP-09,Manual,HatchBack,418000
578,Honda City,2017,40502,1,DIESEL,MP-09,Manual,Sedan,782000
579,Maruti S Cross,2017,99331,2,DIESEL,UP-32,Manual,SUV,577000
580,Hyundai Grand i10,2015,47720,1,PETROL,GJ-01,Manual,HatchBack,441000
581,Maruti Swift,2018,69176,1,PETROL,CH-01,Manual,HatchBack,616000
582,Tata Hexa,2018,77208,1,DIESEL,DL-7C,Automatic,SUV,891000
583,Nissan Micra,2015,75961,1,PETROL,GJ-01,Automatic,HatchBack,312000
584,Maruti Swift,2012,24119,1,PETROL,DL-6C,Manual,HatchBack,314000
585,Honda WR-V,2018,30194,2,PETROL,UP-32,Manual,SUV,612000
586,Hyundai i10,2013,98297,2,PETROL,KA-05,Manual,HatchBack,262000
587,Volkswagen Polo,2018,63221,2,PETROL,GJ-05,Manual,HatchBack,531000
588,Volkswagen Polo,2017,83286,1,PETROL,GJ-01,Manual,HatchBack,535000
589,Maruti Wagon R 1.0,2018,35496,1,CNG,MH-47,Manual,HatchBack,436000
590,Maruti Dzire,2019,65664,1,PETROL,MH-03,Automatic,Sedan,613000
591,Maruti Baleno,2019,105614,1,PETROL,,Manual,HatchBack,656000
592,Hyundai Verna,2012,44784,3,PETROL,AP-09,Manual,Sedan,447000
593,Tata NEXON,2018,61107,2,DIESEL,GJ-05,Automatic,SUV,772000
594,Maruti Wagon R 1.0,2016,71761,1,PETROL,MH-50,Manual,HatchBack,404000
595,Maruti Dzire,2017,67448,2,PETROL,MH-01,Manual,Sedan,637000
596,Hyundai GRAND I10 NIOS,2019,22401,1,PETROL,UP-16,Automatic,HatchBack,692000
597,Maruti IGNIS,2019,40066,1,PETROL,RJ-45,Automatic,HatchBack,541000
598,Maruti XL6,2022,10259,1,PETROL,PB-65,Automatic,SUV,1396000
599,Toyota Corolla Altis,2010,69278,2,PETROL,DL-4C,Manual,Lux_sedan,234000
600,Honda Civic,2020,42457,1,PETROL,KA-22,Automatic,Sedan,1709000
601,Hyundai Grand i10,2017,66080,1,PETROL,TN-11,Manual,HatchBack,515000
602,Datsun Redi Go,2021,12199,1,PETROL,KL-08,Manual,HatchBack,415000
603,Maruti Swift,2017,39046,1,PETROL,HR-76,Manual,HatchBack,510000
604,Hyundai Verna,2018,47897,1,DIESEL,GJ-18,Manual,Sedan,1179000
605,Hyundai NEW SANTRO,2019,12713,1,PETROL,UP-78,Manual,HatchBack,444000
606,Maruti Wagon R 1.0,2018,41338,2,CNG,GJ-36,Automatic,HatchBack,471000
607,Renault Duster,2018,75114,2,DIESEL,HR-26,Automatic,SUV,705000
608,Maruti Wagon R 1.0,2017,88437,1,PETROL,GJ-01,Manual,HatchBack,370000
609,Maruti S PRESSO,2021,24447,1,CNG,UP-32,Manual,HatchBack,554000
610,Tata NEXON,2021,13767,1,PETROL,TN-73,Automatic,SUV,1143000
611,Tata ALTROZ,2021,35172,1,PETROL,KA-05,Manual,HatchBack,672000
612,Hyundai Grand i10,2016,71822,2,PETROL,MH-12,Automatic,HatchBack,535000
613,Maruti Swift,2018,61212,2,DIESEL,GJ-03,Manual,HatchBack,674000
614,Hyundai NEW I20,2022,17575,1,PETROL,MH-03,Manual,HatchBack,1042000
615,Toyota YARIS,2018,22528,2,PETROL,KA-01,Automatic,Sedan,704000
616,Maruti S Cross,2020,5574,1,PETROL,UP-14,Manual,SUV,1021000
617,Hyundai Creta,2017,63613,1,PETROL,TS-09,Automatic,SUV,1017000
618,Maruti New Wagon-R,2019,35732,2,CNG,HR-29,Manual,HatchBack,507000
619,Hyundai Creta,2018,38650,1,DIESEL,HR-26,Automatic,SUV,1106000
620,Honda Jazz,2017,29558,1,PETROL,MH-05,Automatic,HatchBack,587000
621,Mahindra XUV500,2018,38130,2,DIESEL,DL-12,Automatic,Lux_SUV,1156000
622,Hyundai Eon,2017,25039,1,PETROL,DL-12,Manual,HatchBack,292000
623,Honda CRV,2017,53014,1,PETROL,GJ-06,Automatic,Lux_SUV,1193000
624,Maruti Baleno,2016,63142,1,PETROL,GJ-15,Manual,HatchBack,496000
625,Renault Kwid,2016,47471,2,PETROL,TN-03,Manual,HatchBack,336000
626,Hyundai i10,2010,91194,3,PETROL,MH-01,Manual,HatchBack,174000
627,Maruti Wagon R 1.0,2018,40437,1,CNG,MH-43,Manual,HatchBack,428000
628,Hyundai VENUE,2019,88515,1,DIESEL,HR-29,Manual,SUV,809000
629,Renault TRIBER,2020,89824,1,PETROL,TS-33,Manual,SUV,630000
630,Nissan Micra,2018,51507,2,PETROL,KL-41,Automatic,HatchBack,584000
631,Maruti Baleno,2017,77995,1,PETROL,KA-53,Automatic,HatchBack,753000
632,Maruti S PRESSO,2021,16563,1,PETROL,PB-27,Manual,HatchBack,462000
633,Hyundai i20 Active,2015,95852,2,PETROL,MH-31,Manual,HatchBack,506000
634,Maruti Alto 800,2017,45385,1,CNG,MH-12,Manual,HatchBack,346000
635,Mahindra KUV 100 NXT,2017,68942,2,PETROL,WB-08,Manual,SUV,436000
636,Maruti Swift,2015,43563,1,PETROL,MH-06,Manual,HatchBack,462700
637,Maruti Swift,2016,47771,1,DIESEL,UP-14,Manual,HatchBack,428000
638,Hyundai Grand i10,2015,25617,1,PETROL,KA-53,Manual,HatchBack,502000
639,Hyundai Elite i20,2016,35690,2,PETROL,DL-9C,Manual,HatchBack,535000
640,Hyundai Grand i10,2013,84969,2,DIESEL,AP-28,Manual,HatchBack,414000
641,Honda City,2014,47361,1,PETROL,PB-08,Manual,Sedan,579000
642,Maruti Swift,2015,52763,1,PETROL,MH-20,Manual,HatchBack,498000
643,Toyota YARIS,2020,50574,1,PETROL,MH-31,Manual,Sedan,836000
644,Maruti Baleno,2018,42622,1,DIESEL,DL-10,Manual,HatchBack,565000
645,Maruti Alto 800,2014,31933,2,PETROL,AP-28,Manual,HatchBack,277000
646,Maruti Alto K10,2019,33197,1,PETROL,UP-78,Manual,HatchBack,334000
647,Ford Ecosport,2017,72091,2,PETROL,GJ-06,Manual,SUV,617000
648,Renault Kwid,2021,26755,1,PETROL,KA-19,Automatic,HatchBack,564000
649,Maruti Swift Dzire,2012,60351,1,PETROL,UP-16,Manual,Sedan,506000
650,Hyundai Grand i10,2019,60019,1,CNG,GJ-01,Manual,HatchBack,551000
651,Maruti Ciaz,2016,84335,1,DIESEL,GJ-27,Manual,Sedan,555000
652,Hyundai Creta,2017,82642,2,DIESEL,GJ-01,Automatic,SUV,1029000
653,Maruti New Wagon-R,2019,95841,1,CNG,DL-2C,Manual,HatchBack,492000
654,Maruti Dzire,2018,73636,1,CNG,GJ-01,Automatic,Sedan,657000
655,Hyundai Elite i20,2020,44394,1,PETROL,HR-51,Manual,HatchBack,669000
656,Maruti Swift,2012,29056,1,PETROL,MH-04,Manual,HatchBack,338000
657,Hyundai Grand i10,2019,17925,1,PETROL,HR-26,Manual,HatchBack,518000
658,Hyundai Verna,2013,45232,1,PETROL,KA-53,Manual,Sedan,556000
659,Maruti Swift,2015,83590,2,PETROL,MH-43,Manual,HatchBack,448000
660,Maruti New Wagon-R,2021,32678,2,CNG,MH-46,Manual,HatchBack,602000
661,Maruti Wagon R 1.0,2016,51428,1,PETROL,GJ-06,Automatic,HatchBack,421000
662,Volkswagen Vento,2015,55652,1,PETROL,KA-25,Manual,Sedan,521000
663,Tata Tiago,2017,64226,2,PETROL,TS-10,Automatic,HatchBack,522000
664,Maruti Alto 800,2018,93264,2,PETROL,TS-08,Manual,HatchBack,254000
665,Maruti Alto 800,2017,21716,1,PETROL,TN-10,Manual,HatchBack,319000
666,Tata ALTROZ,2021,31750,2,PETROL,TS-09,Manual,HatchBack,794000
667,Maruti Baleno,2018,17328,2,PETROL,DL-9C,Manual,HatchBack,645000
668,Hyundai Elite i20,2014,48192,1,PETROL,DL-3C,Manual,HatchBack,474000
669,Hyundai Grand i10,2017,35617,1,PETROL,GJ-03,Manual,HatchBack,550000
670,Ford Ecosport,2018,45730,1,DIESEL,DL-12,Manual,SUV,720000
671,Toyota Innova,2014,85512,2,DIESEL,MH-12,Manual,SUV,917000
672,Maruti Vitara Brezza,2022,22783,2,PETROL,PB-10,Manual,SUV,868000
673,Skoda Rapid,2018,34715,2,PETROL,TN-09,Manual,Sedan,610000
674,Maruti Wagon R 1.0,2014,64500,1,CNG,MH-02,Manual,HatchBack,349000
675,Renault Kwid,2022,4139,1,PETROL,GJ-01,Manual,HatchBack,551000
676,Honda Amaze,2016,48185,1,PETROL,DL-10,Manual,Sedan,516000
